id,verificado,borrado,mensaje,timestamp
6a79cb86e1c1a2d10f120647,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb836f0bad175d33d9f5,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb85e1c1a2d10f120611,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb8a31bc64b96b5c43bf,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb8a6f0bad175d33e150,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb8e31bc64b96b5c4998,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb8f6f0bad175d33e6f9,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb8ee1c1a2d10f120fd5,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb9131bc64b96b5c4e81,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb9431bc64b96b5c547b,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb9c6f0bad175d33ec13,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb9ae1c1a2d10f1216a3,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cb9831bc64b96b5c5afe,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cba16f0bad175d33f1c9,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cba4e1c1a2d10f121cdb,true,true,"Borrado correctamente",2026-08-11T12:00:20.897188100
6a79cba531bc64b96b5c6a03,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cba131bc64b96b5c6541,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cba36f0bad175d33f684,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbab31bc64b96b5c7181,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbaa6f0bad175d33fe48,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbb0e1c1a2d10f122a7a,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbaf31bc64b96b5c751b,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbafe1c1a2d10f1227c5,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbb6e1c1a2d10f12339e,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbb831bc64b96b5c7b64,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbba6f0bad175d340680,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbba31bc64b96b5c8047,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbc0e1c1a2d10f129e4f,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbbd6f0bad175d340b51,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbbd31bc64b96b5c8560,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
